1;a;Capacidad para identificar y formular problemas.
1;b;Capacidad para realizar  una búsqueda  creativa de soluciones  y seleccionar criteriosamente la alternativa más adecuada.
1;c;Capacidad para implementar  tecnológicamente  una alternativa  de solución.
1;d;Capacidad para controlar   y  evaluar los   propios   enfoques   y estrategias  para abordar eficazmente  la resolución  de los problemas.
2;a;Capacidad para concebir soluciones tecnológicas.
2;b;Capacidad para diseñar y desarrollar proyectos de ingeniería.
3;a;Capacidad para planificar y ejecutar proyectos de ingeniería.
3;b;Capacidad para operar y controlar proyectos de ingeniería
4;a;Capacidad para identificar y seleccionar las técnicas y herramientas disponibles.
4;b;Capacidad para utilizar y/o supervisar la utilización de las técnicas y herramientas
5;a;Capacidad para detectar oportunidades y necesidades insatisfechas o nuevas maneras de satisfacerlas mediante soluciones tecnológicas.
5;b;Capacidad para utilizar creativamente las tecnologías disponibles.
5;c;Capacidad para emplear las formas de pensamiento apropiadas para la innovación tecnológica.
6;a;Capacidad para identificar las metas y responsabilidades individuales y colectivas y actuar de acuerdo a ellas.
6;b;Capacidad para reconocer y respetar los puntos de vista y opiniones de otros miembros del equipo y llegar a acuerdos.
6;c;Capacidad para asumir responsabilidades y roles dentro del equipo de trabajo
7;a;Capacidad para seleccionar las estrategias de comunicación en función de los objetivos y de los interlocutores  y de acordar  significados en el contexto de intercambio.
7;b;Capacidad para producir e interpretar textos técnicos (memorias, informes, etc.) y presentaciones públicas.
8;a;Capacidad para actuar éticamente.
8;b;Capacidad para actuar con responsabilidad profesional y compromiso social
8;c;Capacidad para evaluar el impacto económico, social y ambiental de su actividad en el contexto local y global.
9;a;Capacidad para reconocer la necesidad de un aprendizaje continuo a lo largo de la vida
9;b;Capacidad para lograr autonomía en el aprendizaje
10;a;Capacidad para crear y desarrollar una visión
10;b;Capacidad para crear y mantener una red de contactos

